"","Hum (%)","CO","Temp (??)","NOX (inverse)","PM2.5","NA"
"1",42,209,24,23,24,2016-10-10 12:30:00
"2",41,209,20,25,18,2016-10-10 12:35:00
"3",40,208,14,25,19,2016-10-10 12:40:00
"4",40,208,23,26,18,2016-10-10 12:45:00
"5",39,208,17,27,21,2016-10-10 12:50:00
"6",38,208,26,27,21,2016-10-10 12:55:00
"7",40,209,16,28,19,2016-10-10 13:00:00
"8",37,209,19,28,19,2016-10-10 13:05:00
"9",37,209,15,28,20,2016-10-10 13:10:00
"10",38,209,21,28,21,2016-10-10 13:15:00
"11",39,209,14,28,21,2016-10-10 13:20:00
"12",38,209,24,29,22,2016-10-10 13:25:00
"13",38,210,18,29,16,2016-10-10 13:30:00
"14",39,210,28,28,21,2016-10-10 13:35:00
"15",40,210,14,27,19,2016-10-10 13:40:00
"16",41,210,25,27,20,2016-10-10 13:45:00
"17",42,210,21,27,19,2016-10-10 13:50:00
"18",43,210,31,27,19,2016-10-10 13:55:00
"19",43,210,30,26,20,2016-10-10 14:00:00
"20",44,210,14,26,21,2016-10-10 14:05:00
"21",43,210,17,26,19,2016-10-10 14:10:00
"22",44,210,23,26,20,2016-10-10 14:15:00
"23",45,210,22,26,21,2016-10-10 14:20:00
"24",45,210,22,26,19,2016-10-10 14:25:00
"25",46,211,28,26,21,2016-10-10 14:30:00
"26",47,211,26,25,21,2016-10-10 14:35:00
"27",47,211,26,25,21,2016-10-10 14:40:00
"28",47,211,33,25,20,2016-10-10 14:45:00
"29",48,211,11,25,21,2016-10-10 14:50:00
"30",45,211,26,25,19,2016-10-10 14:55:00
"31",47,211,20,25,22,2016-10-10 15:00:00
"32",46,211,13,25,21,2016-10-10 15:05:00
"33",45,211,37,25,21,2016-10-10 15:10:00
"34",48,211,22,25,19,2016-10-10 15:15:00
"35",47,211,20,25,21,2016-10-10 15:20:00
"36",46,211,24,25,21,2016-10-10 15:25:00
"37",47,211,21,25,21,2016-10-10 15:30:00
"38",46,211,26,25,21,2016-10-10 15:35:00
"39",49,211,31,25,19,2016-10-10 15:40:00
"40",48,211,22,25,21,2016-10-10 15:45:00
"41",47,212,28,25,19,2016-10-10 15:50:00
"42",48,212,30,25,20,2016-10-10 15:55:00
"43",47,212,26,25,20,2016-10-10 16:00:00
"44",46,212,26,25,20,2016-10-10 16:05:00
"45",47,212,26,25,19,2016-10-10 16:10:00
"46",47,212,19,25,20,2016-10-10 16:15:00
"47",47,212,21,24,21,2016-10-10 16:20:00
"48",47,212,27,24,19,2016-10-10 16:25:00
"49",48,212,29,24,21,2016-10-10 16:30:00
"50",48,212,28,24,20,2016-10-10 16:35:00
"51",48,212,24,24,19,2016-10-10 16:40:00
"52",48,212,33,24,20,2016-10-10 16:45:00
"53",50,212,34,24,22,2016-10-10 16:50:00
"54",50,212,23,24,20,2016-10-10 16:55:00
"55",49,212,21,24,20,2016-10-10 17:00:00
"56",49,212,35,24,19,2016-10-10 17:05:00
"57",49,212,32,24,21,2016-10-10 17:10:00
"58",50,212,33,24,21,2016-10-10 17:15:00
"59",51,212,26,24,20,2016-10-10 17:20:00
"60",50,212,26,24,22,2016-10-10 17:25:00
"61",50,212,34,24,20,2016-10-10 17:30:00
"62",51,212,29,24,19,2016-10-10 17:35:00
"63",51,212,29,23,22,2016-10-10 17:40:00
"64",51,212,27,24,19,2016-10-10 17:45:00
"65",51,212,36,24,20,2016-10-10 17:50:00
"66",51,212,26,24,20,2016-10-10 17:55:00
"67",50,212,29,24,20,2016-10-10 18:00:00
"68",50,212,24,24,19,2016-10-10 18:05:00
"69",50,212,28,24,21,2016-10-10 18:10:00
"70",51,212,15,24,20,2016-10-10 18:15:00
"71",49,212,34,24,19,2016-10-10 18:20:00
"72",52,212,34,23,18,2016-10-10 18:25:00
"73",53,212,31,24,19,2016-10-10 18:30:00
"74",53,212,32,23,21,2016-10-10 18:35:00
"75",54,212,34,23,21,2016-10-10 18:40:00
"76",54,212,34,23,18,2016-10-10 18:45:00
"77",54,212,33,23,18,2016-10-10 18:50:00
"78",55,212,34,23,21,2016-10-10 18:55:00
"79",54,212,34,23,21,2016-10-10 19:00:00
